"시도별","연령계층별","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"서울특별시","계","4.0","4.2","4.6","4.7","4.5","3.9","4.0","4.5","4.8","4.7","4.6","4.3","4.8","5.1"
"부산광역시","계","3.8","3.9","3.6","3.6","4.3","3.8","3.9","4.2","4.3","4.4","4.1","3.9","5.7","7.1"
"대구광역시","계","3.3","3.3","3.7","4.0","4.3","3.6","3.6","3.7","4.2","4.2","4.4","4.2","4.8","4.9"
"인천광역시","계","4.2","4.5","4.8","5.1","4.6","3.9","4.1","4.4","4.6","4.5","4.4","4.0","4.7","5.4"
"광주광역시","계","2.9","2.7","3.1","3.5","3.8","3.8","3.9","4.2","4.3","4.3","4.6","3.8","5.1","6.6"
"대전광역시","계","3.1","3.7","3.6","3.6","3.6","3.6","4.1","4.4","4.4","4.2","3.8","3.9","4.6","4.8"
"울산광역시","계","2.1","2.6","2.8","3.6","4.2","3.5","2.6","2.9","3.5","3.6","3.2","2.5","3.4","4.2"
"경기도","계","3.0","3.3","3.5","4.0","3.9","3.2","3.4","3.6","3.9","3.7","3.4","2.8","3.6","3.9"
"강원도","계","2.4","2.5","2.2","2.6","2.0","1.7","1.8","1.3","1.8","2.1","2.0","1.9","2.4","2.6"
"충청북도","계","2.1","2.0","2.4","2.2","2.1","2.2","2.2","2.1","2.2","2.7","3.1","2.6","3.5","3.6"
"충청남도","계","2.8","2.3","2.3","2.9","3.0","2.4","2.2","2.4","2.6","2.3","2.9","2.7","2.9","2.8"
"전라북도","계","2.0","2.0","2.3","2.2","1.9","2.2","2.3","2.5","2.5","2.7","2.7","2.5","3.1","3.1"
"전라남도","계","2.1","1.6","2.0","2.1","1.6","2.0","1.7","1.7","2.3","2.5","2.3","2.3","3.1","3.3"
"경상북도","계","3.1","2.5","2.5","2.8","2.7","2.1","2.0","2.2","2.4","2.6","2.2","2.2","2.7","3.4"
"경상남도","계","2.1","1.9","2.2","2.8","3.0","2.2","2.4","2.3","2.7","2.4","2.5","2.5","3.3","3.5"
"제주특별자치도","계","1.8","1.6","1.7","1.8","1.6","1.9","2.1","2.1","2.5","2.5","1.9","2.2","2.6","3.0"
